name,description
K&R,K&R—Kernighan and Ritchie
KB,KB—Keyboard
Kb,Kb—Kilobit
KB,KB—Kilobyte
KB,KB—Knowledge Base
Kbps,Kbps—Kilobits per second
KiB,KiB—Kibibyte
KDE,KDE—K Desktop Environment
kHz,kHz—Kilohertz
KRL,KM—Knowledge Machine
KRL,KRL—Knowledge Representation Language
KVM,KVM—Keyboard Video Mouse
L10N,L10N—Localization
L2TP,L2TP—Layer two Tunneling Protocol
LACP,LACP—Link Aggregation Control Protocol
LAMP,LAMP—Linux Apache MySQL Perl
LAMP,LAMP—Linux Apache MySQL PHP
LAMP,LAMP—Linux Apache MySQL Python
LAN,LAN—Local Area Network
LBA,LBA—Logical Block Addressing
LB,LB—Load Balancer
LCD,LCD—Liquid Crystal Display
LCR,LCR—Least Cost Routing
LCOS,LCOS—Liquid Crystal On Silicon
LDAP,LDAP—Lightweight Directory Access Protocol
LE,LE—Logical Extents
LED,LED—Light-Emitting Diode
LF,LF—Line Feed
LF,LF—Low Frequency
LFS,LFS—Linux From Scratch
LGPL,LGPL—Lesser General Public License
LIB,LIB—LIBrary
LIF,LIF—Low Insertion Force
LIFO,LIFO—Last In First Out
LILO,LILO—Linux Loader
LISP,LIP—Loop Initialization Primitive
LISP,LISP—LISt Processing
LKML,LKML—Linux Kernel Mailing List
LM,LM—Lan Manager
LOC,LOC—Lines of Code
LPC,LPC—Lars Pensjö C
LPI,LPI—Lines Per Inch
LPI,LPI—Linux Professional Institute
LPT,LPT— Line Print Terminal
LRU,LRU—Least Recently Used
LSB,LSB—Least Significant Bit
LSB,LSB—Linux Standard Base
LSI,LSI—Large-Scale Integration
LTE,LTE—Long Term Evolution
LTL,LTL—Linear Temporal Logic
LTR,LTR—Left-to-Right
LUG,LUG—Linux User Group
LUN,LUN—Logical Unit Number
LV,LV—Logical Volume
LVD,LVD—Low Voltage Differential
LVM,LVM—Logical Volume Management
LZW,LZW—Lempel-Ziv-Welch
LGA,LGA—Land Grid Array
MAC,MAC—Mandatory Access Control
MAC,MAC—Media Access Control
MANET,MANET—Mobile Ad-Hoc Network
MAN,MAN—Metropolitan Area Network
MAPI,MAPI—Messaging Application Programming Interface
MBCS,MBCS—Multi Byte Character Set
MBD,MBD—Model-Based Design
MBR,MBR—Master Boot Record
Mb,Mb—Megabit
MB,MB—Megabyte
Mbps,Mbps—Megabits per second
MCAD,MCAD—Microsoft Certified Application Developer
MCAS,MCAS—Microsoft Certified Application Specialist
MCA,MCA—Micro Channel Architecture
MCA,MCA—Microsoft Certified Architect
MCDBA,MCDBA—Microsoft Certified DataBase Administrator
MCDST,MCDST—Microsoft Certified Desktop Support Technician
MCITP,MCITP—Microsoft Certified Information Technology Professional
MCM,MCM—Microsoft Certified Master
MCPC,MCPC—Multiple Channels Per Carrier
MCPD,MCPD—Microsoft Certified Professional Developer
MCP,MCP—Microsoft Certified Professional
MCSA,MCSA—Microsoft Certified Systems Administrator
MCSD,MCSD—Microsoft Certified Solution Developer
MCSE,MCSE—Microsoft Certified Systems Engineer
MCTS,MCTS—Microsoft Certified Technology Specialist
MCT,MCT—Microsoft Certified Trainer
MDA,MDA—Monochrome Display Adapter
MDA,MDA—Mail Delivery Agent
MDA,MDA—Model-Driven Architecture
MDD/MDSD,MDD/MDSD—Model-Driven (Software) Development
MDF,MDF—Main Distribution Frame
MDI,MDI—Multiple-Document Interface
MDM,MDM—Master Data Management
ME,ME—Microsoft Edge
ME,ME—[Windows] Millennium Edition
MFA,MFA—Multi-factor authentication
MFC,MFC—Microsoft Foundation Classes
MFM,MFM—Modified Frequency Modulation
MF,MF—Medium Frequency
MGCP,MGCP—Media Gateway Control Protocol
MHz,MHz—Megahertz
MIB,MIB—Management Information Base
MICR,MICR—Magnetic Ink Character Recognition or Magnetic Ink Character Reader
MIDI,MIDI—Musical Instrument Digital Interface
MIMD,MIMD—Multiple Instruction Multiple Data
MIME,MIME—Multipurpose Internet Mail Extensions
MIMO,MIMO—Multiple-Input Multiple-Output
MINIX,MINIX—MIni-uNIX
MIPS,MIPS—Microprocessor without Interlocked Pipeline Stages
MIPS,MIPS—Million Instructions Per Second
MISD,MISD—Multiple Instruction Single Data
MIS,MIS—Management Information Systems
MIT,MIT—Massachusetts Institute of Technology
ML,ML—Machine Learning
MMC,MMC—Microsoft Management Console
MMDS,MMDS—Mortality Medical Data System
MMDS,MMDS—Multichannel Multipoint Distribution Service
MMF,MMF—Multi-Mode (optical) Fiber
MMIO,MMIO—Memory-Mapped I/O
MMI,MMI—Man Machine Interface.
MMORPG,MMORPG—Massively Multiplayer Online Role-Playing Game
MMS,MMS—Multimedia Message Service
MMU,MMU—Memory Management Unit
MMX,MMX—Multi-Media Extensions
MNG,MNG—Multiple-image Network Graphics
MoBo,MoBo—Motherboard
MOM,MOM—Message-Oriented Middleware
MOO,MOO—MUD Object Oriented
MOP,MOP—Meta-Object Protocol
MOSFET,MOSFET—Metal-Oxide Semiconductor Field Effect Transistor
MOS,MOS—Microsoft Office Specialist
MOTD,MOTD—Message Of The Day
MOUS,MOUS—Microsoft Office User Specialist
MOV,MOV—Apple QuickTime Multimedia File
MPAA,MPAA—Motion Picture Association of America
MPEG,MPEG—Motion Pictures Experts Group
MPLS,MPLS—Multiprotocol Label Switching
MPL,MPL—Mozilla Public License
MPU,MPU—Microprocessor Unit
MS-DOS,MS-DOS—Microsoft DOS
MSA,MSA—Mail Submission Agent
MSB,MSB—Most Significant Bit
MSDN,MSDN—Microsoft Developer Network
MSI,MSI—Medium-Scale Integration
MSI,MSI—Message Signaled Interrupt
MSI,MSI—Microsoft Installer
MSN,MSN—Microsoft Network
MS,MS—Microsoft
MS,MS—Memory Stick
MTA,MTA—Mail Transfer Agent
MTA,MTA—Microsoft Technology Associate
MTBF,MTBF—Mean Time Between Failures
MTU,MTU—Maximum Transmission Unit
MT,MT—Machine Translation
MUA,MUA—Mail User Agent
MUD,MUD—Multi-User Dungeon
MU,MU—Memory Unit
MVC,MVC—Model-View-Controller
MVP,MVP—Most Valuable Professional
MVS,MVS—Multiple Virtual Storage
MWC,MWC—Mobile World Congress
MXF,MXF—Material Exchange Format
MX,MX—Mail exchange
NAC,NAC—Network Access Control
NACK,NACK—Negative ACKnowledgement
NAK,NAK—Negative AcKnowledge Character
NaN,NaN—Not a Number
NAP,NAP—Network Access Protection
NAS,NAS—Network-Attached Storage
NASM,NASM—Netwide ASseMbler
NAT,NAT—Network Address Translation
NCP,NCP—NetWare Core Protocol
NCQ,NCQ—Native Command Queuing
NCSA,NCSA—National Center for Supercomputing Applications
NDIS,NDIS—Network Driver Interface Specification
NDPS,NDPS—Novell Distributed Print Services
NDS,NDS—Novell Directory Services
NEP,NEP—Network Equipment Provider
NetBIOS,NetBIOS—Network Basic Input/Output System
NetBT,NetBT—NetBIOS over TCP/IP
NEXT,NEXT—Near-End CrossTalk
NFA,NFA—Nondeterministic Finite Automaton
NFC,NFC—Near-field communication
NFS,NFS—Network File System
NGSCB,NGL—aNGeL
NGSCB,NGSCB—Next-Generation Secure Computing Base
NI,NI—National Instruments
NIC,NIC—Network Interface Controller or Network Interface Card
NIM,NIM—No Internal Message
NIO,NIO—Non-blocking I/O
NIST,NIST—National Institute of Standards and Technology
NLE,NLE—Non-Linear Editing system
NLP,NLP—Natural Language Processing
NLS,NLS—Native Language Support
NMI,NMI—Non-Maskable Interrupt
NNTP,NNTP—Network News Transfer Protocol
NOC,NOC—Network Operations Center
NOP,NOP—No OPeration
NOS,NOS—Network Operating System
NP,NP—Nondeterministic Polynomial time
NPL,NPL—Netscape Public License
NPTL,NPTL—Native POSIX Thread Library
NPU,NPU—Network Processing Unit
NS,NS—Netscape
NSA,NSA—Network Security Appliance
NSI,NSI—Network Service Interface
NSPR,NSPR—Netscape Portable Runtime
NSS,NSS—Novell Storage Service
NSS,NSS—Network Security Services
NSS,NSS—Name Service Switch
NT,NT—New Technology
NTFS,NTFS—NT Filesystem
NTLM,NTLM—NT Lan Manager
NTP,NTP—Network Time Protocol
NUMA,NUMA—Non-Uniform Memory Access
NURBS,NURBS—Non-Uniform Rational B-Spline
NVR,NVR—Network Video Recorder
NVRAM,NVRAM—Non-Volatile Random Access Memory
OASIS,OASIS—Organization for the Advancement of Structured Information Standards
OAT,OAT—Operational Acceptance Testing
OBSAI,OBSAI—Open Base Station Architecture Initiative
ODBC,ODBC—Open Database Connectivity
OEM,OEM—Original Equipment Manufacturer
OES,OES—Open Enterprise Server
OFDM,OFDM—Orthogonal Frequency-Division Multiplexing
OFTC,OFTC—Open and Free Technology Community
OID,OID—Object Identifier
OLAP,OLAP—Online Analytical Processing
OLE,OLE—Object Linking and Embedding
OLED,OLED—Organic Light Emitting Diode
OLPC,OLPC—One Laptop per Child
OLTP,OLTP—Online Transaction Processing
OMF,OMF—Object Module Format
OMG,OMG—Object Management Group
OMR,OMR—Optical Mark Reader
OO,OO—Object-Oriented
OO,OO—OpenOffice
OOE,OOE—Out-of-Order Execution
OOM,OOM—Out Of Memory
OOo,OOo—OpenOffice.org
OoOE,OoOE—Out-of-Order Execution
OOP,OOP—Object-Oriented Programming
OOTB,OOTB—Out of the box
OPML,OPML—Outline Processor Markup Language
ORB,ORB—Object Request Broker
ORM,ORM—Object-Relational Mapping
OS,OS—Open Source
OS,OS—Operating System
OSCON,OSCON—O'Reilly Open Source CONvention
OSDN,OSDN—Open Source Development Network
OSI,OSI—Open Source Initiative
OSI,OSI—Open Systems Interconnection
OSPF,OSPF—Open Shortest Path First
OSS,OSS—Open Sound System
OSS,OSS—Open-Source Software
OSS,OSS—Operations Support System
OSTG,OSTG—Open Source Technology Group
OTP,OTP—One-time password
OUI,OUI—Organisationally Unique Identifier
P2P,P2P—Peer-To-Peer
PaaS,PaaS—Platform as a Service
PAM,PAM—Privileged Access Management
PAN,PAN—Personal Area Network
PAP,PAP—Password Authentication Protocol
PARC,PARC—Palo Alto Research Center
PATA,PATA—Parallel ATA
PBS,PBS—Portable Batch System
PC,PC—Personal Computer
PCB,PCB—Printed Circuit Board
PCB,PCB—Process Control Block
PC DOS,PC DOS—Personal Computer Disc Operating System
PCI,PCI—Peripheral Component Interconnect
PCIe,PCIe—PCI Express
PCI-X,PCI-X—PCI Extended
PCL,PCL—Printer Command Language
PCMCIA,PCMCIA—Personal Computer Memory Card International Association
PCM,PCM—Pulse-Code Modulation
PCRE,PCRE—Perl Compatible Regular Expressions
PD,PD—Public Domain
PDA,PDA—Personal Digital Assistant
PDF,PDF—Portable Document Format
PDH,PDH—Plesiochronous Digital Hierarchy
PDP,PDP—Programmed Data Processor
PE,PE—Physical Extents
PERL,PERL—Practical Extraction and Reporting Language
PFA,PFA—Please Find Attachment
PG,PG—Peripheral Gateway
PGA,PGA—Pin Grid Array
PGA,PGA—Programmable Gate Array
PGO,PGO—Profile-Guided Optimization
PGP,PGP—Pretty Good Privacy
PHP,PHP—Hypertext Preprocessor
PIC,PIC—Peripheral Interface Controller
PIC,PIC—Programmable Interrupt Controller
PID,PID—Proportional-Integral-Derivative
PID,PID—Process ID
PIM,PIM—Personal Information Manager
PINE,PINE—Program for Internet News and Email
PIM,PIM—Platform Independent Model
PING,PING—Packet Internet Gopher
PIO,PIO—Programmed Input/Output
PKCS,PKCS—Public Key Cryptography Standards
PKI,PKI—Public Key Infrastructure
PLC,PLC—Power Line Communication
PLC,PLC—Programmable Logic Controller
PLD,PLD—Programmable Logic Device
PL/I,PL/I—Programming Language One
PL/M,PL/M—Programming Language for Microcomputers
PL/P,PL/P—Programming Language for Prime
PLT,PLT—Power Line Telecommunications
PMM,PMM—POST Memory Manager
PNG,PNG—Portable Network Graphics
PnP,PnP—Plug-and-Play
PNRP,PNRP—Peer Name Resolution Protocol
PoE,PoE—Power over Ethernet
PoS,PoS—Point of Sale
POCO,POCO—Plain Old Class Object
POID,POID—Persistent Object Identifier
POJO,POJO—Plain Old Java Object
POP,POP—Point of Presence
POP3,POP3—Post Office Protocol v3
POSIX,POSIX—Portable Operating System Interface formerly IEEE-IX
POST,POST—Power-On Self Test
PPC,PPC—PowerPC
PPI,PPI—Pixels Per Inch
PPM,PPM—Pages Per Minute
PPP,PPP—Point-to-Point Protocol
PPPoA,PPPoA—PPP over ATM
PPPoE,PPPoE—PPP over Ethernet
PPTP,PPTP—Point-to-Point Tunneling Protocol
PR,PR—Pull Request
PROM,PROM—Programmable Read-Only Memory
PS,PS—PostScript
PS/2,PS/2—Personal System/2
PSA,PSA—Professional Services Automation
PSM,PSM—Platform Specific Model
PSTN,PSTN—Public Switched Telephone Network
PSU,PSU—Power Supply Unit
PSVI,PSVI—Post-Schema-Validation Infoset
PTS-DOS,PTS-DOS—PhysTechSoft – Disk Operating System
PV,PV—Physical Volume
PVG,PVG—Physical Volume Group
PVR,PVR—Personal Video Recorder
PXE,PXE—Preboot Execution Environment
PXI,PXI—PCI eXtensions for Instrumentation
PRC,PRC—Procedure Remote Call
QDR,QDR—Quad Data Rate
QA,QA—Quality Assurance
QFP,QFP—Quad Flat Package
QoS,QoS—Quality of Service
QOTD,QOTD—Quote of the Day
Qt,Qt—Quasar Toolkit
QTAM,QTAM—Queued Teleprocessing Access Method
QSOP,QSOP—Quarter Small Outline Package
qWave,qWave—Quality Windows Audio/Video Experience
RACF,RACF—Resource Access Control Facility
RAD,RAD—Rapid Application Development
RADIUS,RADIUS—Remote Authentication Dial In User Service
RAID,RAID—Redundant Array of Independent Disks
RAII,RAII—Resource Acquisition Is Initialization
RAIT,RAIT—Redundant Array of Inexpensive Tapes
RAM,RAM—Random-Access Memory
RARP,RARP—Reverse Address Resolution Protocol
RAS,RAS—Reliability Availability and Serviceability
RAS,RAS—Remote access service
RC,RC—Region Code
RC,RC—Release Candidate
RC,RC—Run Commands
RCA,RCA—Root Cause Analysis
RCS,RCS—Revision Control System
RD,RD—Remote Desktop
rd,rd—remove directory
RDBMS,RDBMS—Relational Database Management System
RDC,RDC—Remote Desktop Connection
RDF,RDF—Resource Description Framework
RDM,RDM—Relational Data Model
RDOS,RDOS—Real-time Disk Operating System
RDP,RDP—Remote Desktop Protocol
RDS,RDS—Remote Data Services
REFAL,REFAL—Recursive Functions Algorithmic Language
REST,REP—RAID Error Propagation
REST,REST—Representational State Transfer
regex,RESV—Reservation Message
regex,regex—Regular Expression
regexp,regexp—Regular Expression
RF,RF—Radio Frequency
RFC,RFC—Request For Comments
RFI,RFI—Radio Frequency Interference
RFID,RFID—Radio Frequency Identification
RGB,RGB—Red Green Blue
RHL,RGBA—Red Green Blue Alpha
RHL,RHL—Red Hat Linux
RHEL,RHEL—Red Hat Enterprise Linux
RIA,RIA—Rich Internet Application
RIAA,RIAA—Recording Industry Association of America
RIP,RIP—Raster Image Processor
RIP,RIP—Routing Information Protocol
RIR,RIR—Regional Internet registry
RISC,RISC—Reduced Instruction Set Computer
RISC OS,RISC OS—Reduced Instruction Set Computer Operating System
RJE,RJE—Remote Job Entry
RLE,RLE—Run-Length Encoding
RLL,RLL—Run-Length Limited
rmdir,rmdir—remove directory
RMI,RMI—Remote Method Invocation
RMS,RMS—Richard Matthew Stallman
ROM,ROM—Read-Only Memory
ROMB,ROMB—Read-Out Motherboard
ROM-DOS,ROM-DOS—Read-Only Memory - Disk Operating System
RPA,RPA—Robotic Process Automation
RPC,RPC—Remote Procedure Call
RPG,RPG—Report Program Generator
RPM,RPM—RPM Package Manager
RRAS,RRAS—Routing and Remote Access Service
RSA,RSA—Rivest Shamir Adleman
RSI,RSI—Repetitive Strain Injury
RSS,RSS—Radio Service Software
RSS,RSS—Rich Site Summary RDF Site Summary or Really Simple Syndication
RSVP,RSVP—Resource Reservation Protocol
RTAI,RTAI—Real-Time Application Interface
RTC,RTC—Real-Time Clock
RTE,RTE—Real-Time Enterprise
RTEMS,RTEMS—Real-Time Executive for Multiprocessor Systems
RTF,RTF—Rich Text Format
RTL,RTL—Right-to-Left
RTMP,RTMP—Real Time Messaging Protocol
RTOS,RTOS—Real-Time Operating System
RTP,RTP—Real-time Transport Protocol
RTS,RTS—Ready To Send
RTSP,RTSP—Real Time Streaming Protocol
RTTI,RTTI—Run-time Type Information
RWD,RWD—Responsive Web Design
SaaS,SaaS—Software as a Service
SASS,SASS—Syntatically Awesome Style Sheets
SAM,SAM—Security Account Manager
SAN,SAN—Storage Area Network
SAS,SAS—Serial attached SCSI
SATA,SATA—Serial ATA
SAX,SAX—Simple API for XML
SBOD,SBOD—Spinning Beachball of Death
SBP-2,SBP-2—Serial Bus Protocol 2
sbin,sbin—superuser binary
sbs,sbs—Small Business Server
SBU,SBU—Standard Build Unit
SCADA,SCADA—Supervisory Control And Data Acquisition
SCID,SCID—Source Code in Database
SCM,SCM—Software Configuration Management
SCM,SCM—Source Code Management
SCP,SCP—Secure Copy
SCPC,SCPC—Single Channel Per Carrier
SCPI,SCPI—Standard Commands for Programmable Instrumentation
SCSA,SCSA—Secure Content Storage Association
SCSI,SCSI—Small Computer System Interface
SCTP,SCTP—Stream Control Transmission Protocol
SD,SD—Secure Digital
SDDL,SDDL—Security Descriptor Definition Language
SDH,SDH—Synchronous Digital Hierarchy
SDI,SDI—Single-Document Interface
SEC,SEC—Single Edge Contact
SDIO,SDIO—Secure Digital Input Output
SDK,SDK—Software Development Kit
SDL,SDL—Simple DirectMedia Layer
SDN,SDN—Service Delivery Network
SDP,SDP—Session Description Protocol
SDR,SDR—Software-Defined Radio
SDRAM,SDRAM—Synchronous Dynamic Random Access Memory
SDSL,SDSL—Symmetric DSL
SE,SE—Single Ended
SEI,SEI—Software Engineering Institute
SEO,SEO—Search Engine Optimization
SFTP,SFTP—Secure FTP
SFTP,SFTP—Simple File Transfer Protocol
SFTP,SFTP—SSH File Transfer Protocol
SGI,SGI—Silicon Graphics Incorporated
SGML,SGML—Standard Generalized Markup Language
SGR,SGR—Select Graphic Rendition
SHA,SHA—Secure Hash Algorithm
SHDSL,SHDSL—Single-pair High-speed Digital Subscriber Line
SIEM,SIEM—Security information and event management
SIGCAT,SIGCAT—Special Interest Group on CD-ROM Applications and Technology
SIGGRAPH,SIGGRAPH—Special Interest Group on Graphics
SIMD,SIMD—Single Instruction Multiple Data
SIM,SIM—Subscriber Identification Module
SIMM,SIMM—Single Inline Memory Module
SIP,SIP—Session Initiation Protocol
SIP,SIP—Supplementary Ideographic Plane
SISD,SISD—Single Instruction Single Data
SISO,SISO—Single-Input and Single-Output
SLA,SLA—Service Level Agreement
SLED,SLED—SUSE Linux Enterprise Desktop
SLES,SLES—SUSE Linux Enterprise Server
SLI,SLI—Scalable Link Interface
SLIP,SLIP—Serial Line Internet Protocol
SLM,SLM—Service Level Management
SLOC,SLOC—Source Lines of Code
SME,SME—Subject Matter Expert
SMF,SMF—Single-Mode (optical) Fiber
SPM,SPM—Software project management
SPMD,SPMD—Single Program Multiple Data
SPOF,SPOF—Single point of failure
SMA,SMA—SubMiniature version A
SMB,SMB—Server Message Block
SMBIOS,SMBIOS—System Management BIOS
SMIL,SMIL—Synchronized Multimedia Integration Language
S/MIME,S/MIME—Secure/Multipurpose Internet Mail Extensions
SMP,SMP—Supplementary Multilingual Plane
SMP,SMP—Symmetric Multi-Processing
SMPS,SMPS—Switch Mode Power Supply
SMS,SMS—Short Message Service
SMS,SMS—System Management Server
SMT,SMT—Simultaneous Multithreading
SMTP,SMTP—Simple Mail Transfer Protocol
SNA,SNA—Systems Network Architecture
SNMP,SNMP—Simple Network Management Protocol
SNTP,SNTP—Simple Network Time Protocol
SOA,SOA—Service-Oriented Architecture
SOAP,SOAP—Simple Object Access Protocol
SOAP,SOAP—Symbolic Optimal Assembly Program
SOPA,SOPA—Stop Online Piracy Act
SoC,SoC—System-on-a-Chip
SO-DIMM,SO-DIMM—Small Outline DIMM
SOE,SOE—Standard Operating Environment
SOHO,SOHO—Small Office/Home Office
SOI,SOI—Silicon On Insulator
SP,SP—Service Pack
SPA,SPA—Single Page Application
SPF,SPF—Sender Policy Framework
SPI,SPI—Serial Peripheral Interface
SPI,SPI—Stateful Packet Inspection
SPARC,SPARC—Scalable Processor Architecture
SQL,SQL—Structured Query Language
SRAM,SRAM—Static Random Access Memory
SSA,SSA—Static Single Assignment
SSD,SSD—Software Specification Document
SSD,SSD—Solid-State Drive
SSDP,SSDP—Simple Service Discovery Protocol
SSE,SSE—Streaming SIMD Extensions
SSH,SSH—Secure Shell
SSI,SSI—Server Side Includes
SSI,SSI—Single-System Image
SSI,SSI—Small-Scale Integration
SSID,SSID—Service Set Identifier
SSL,SSL—Secure Socket Layer
SSO,SSO—Single Sign On
SSP,SSP—Supplementary Special-purpose Plane
SSSE,SSSE—Supplementary Streaming SIMD Extensions
SSSP,SSSP—Single Source Shortest Path
SSTP,SSTP—Secure Socket Tunneling Protocol
su,su—superuser
SUS,SUS—Single UNIX Specification
SUSE,SUSE—Software und System-Entwicklung
SVC,SVC—Scalable Video Coding
SVG,SVG—Scalable Vector Graphics
SVGA,SVGA—Super Video Graphics Array
SVD,SVD—Structured VLSI Design
SWF,SWF—Shock Wave Flash
SWT,SWT—Standard Widget Toolkit
Sysop,Sysop—System operator
SOLID,SOLID—Single-responsibility Principle Open-closed Principle Liskov substitution principle Interface segregation principle Dependency Inversion principle
TAO,TAO—Track-At-Once
TAPI,TAPI—Telephony Application Programming Interface
TASM,TASM—Turbo ASseMbler
TB,TB—TeraByte
Tcl,Tcl—Tool Command Language
TCP,TCP—Transmission Control Protocol
TCP/IP,TCP/IP—Transmission Control Protocol/Internet Protocol
TCU,TCU—Telecommunication Control Unit
TDMA,TDMA—Time-Division Multiple Access
TFT,TFT—Thin-Film Transistor
TFTP,TFTP—Trivial File Transfer Protocol
TI,TI—Texas Instruments
TIFF,TIFF—Tagged Image File Format
TLA,TLA—Three-Letter Acronym
TLD,TLD—Top-Level Domain
TLS,TLS—Thread-Local Storage
TLS,TLS—Transport Layer Security
TLV,TLV—Type—length—value
tmp,tmp—temporary
TNC,TNC—Terminal Node Controller
TNC,TNC—Threaded Neill-Concelman connector
TPF,TPF—Transaction Processing Facility
TPM,TPM—Trusted Platform Module
TROFF,TROFF—Trace Off
TRON,TRON—Trace On
TRON,TRON—The Real-time Operating system Nucleus
TRSDOS,TRSDOS—Tandy Radio Shack - Disk Operating System
TSO,TSO—Time Sharing Option
TSP,TSP—Traveling Salesman Problem
TSR,TSR—Terminate and Stay Resident
TTA,TTA—True Tap Audio
TTF,TTF—TrueType Font
TTL,TTL—Transistor—Transistor Logic
TTL,TTL—Time To Live
TTS,TTS—Text-to-Speech
TTY,TTY—Teletype
TUCOWS,TUCOWS—The Ultimate Collection of Winsock Software
TUG,TUG—TeX Users Group
TWAIN,TWAIN—Technology Without An Interesting Name
UAAG,UAAG—User Agent Accessibility Guidelines
UAC,UAC—User Account Control
UART,UART—Universal Asynchronous Receiver/Transmitter
UAT,UAT—User Acceptance Testing
UB,UB—Undefined Behavior
UCS,UCS—Universal Character Set
UDDI,UDDI—Universal Description Discovery and Integration
UDMA,UDMA—Ultra DMA
UDP,UDP—User Datagram Protocol
UEFI,UEFI—Unified Extensible Firmware Interface
UHF,UHF—Ultra High Frequency
UI,UI—User Interface
UL,UL—Upload
ULA,ULA—Uncommitted Logic Array
ULSI,ULSI—Ultra Large Scale Integration
UMA,UMA—Upper Memory Area
UMB,UMB—Upper Memory Block
UML,UML—Unified Modeling Language
UML,UML—User-Mode Linux
UMPC,UMPC—Ultra-Mobile Personal Computer
UMTS,UMTS—Universal Mobile Telecommunications System
UNC,UNC—Universal Naming Convention
UNIVAC,UNIVAC—Universal Automatic Computer (By MKS)
UPS,UPS—Uninterruptible Power Supply or Uninterrupted Power Supply
URI,URI—Uniform Resource Identifier
URL,URL—Uniform Resource Locator
URN,URN—Uniform Resource Name
USB,USB—Universal Serial Bus
usr,usr—User System Resources
USR,USR—U.S. Robotics
UTC,UTC—Coordinated Universal Time
UTF,UTF—Unicode Transformation Format
UTP,UTP—Unshielded Twisted Pair
UTRAN,UTRAN—Universal Terrestrial Radio Access Network
UUCP,UUCP—Unix to Unix Copy
UUID,UUID—Universally Unique Identifier
UUN,UUN—Universal User Name
UVC,UVC—Universal Virtual Computer
UWP,UWP—Universal Windows Platform
UX,UX—User Experience
var,var—variable
VoLTE,VoLTE—Voice Over Long Term Evolution
VAX,VAX—Virtual Address eXtension
VCPI,VCPI—Virtual Control Program Interface
VB,VB—Visual Basic
VBA,VBA—Visual Basic for Applications
VBS,VBS—Visual Basic Script
VDI,VDI—Virtual Desktop Infrastructure
VDU,VDU—Visual Display Unit
VDM,VDM—Virtual DOS machine
VDSL,VDSL—Very High Bitrate Digital Subscriber Line
VESA,VESA—Video Electronics Standards Association
VFAT,VFAT—Virtual FAT
VHD,VHD—Virtual Hard Disk
VFS,VFS—Virtual File System
VG,VG—Volume Group
VGA,VGA—Video Graphics Array
VHF,VHF—Very High Frequency
VIRUS,VIRUS—Vital Information Resource Under Seize
VLAN,VLAN—Virtual Local Area Network
VLSM,VLSM—Variable Length Subnet Mask
VLB,VLB—Vesa Local Bus
VLF,VLF—Very Low Frequency
VLIW,VLIW—Very Long Instruction Word
VLSI,VLSI—Very-Large-Scale Integration
VM,VM—Virtual Machine
VM,VM—Virtual Memory
VMM,VMM—Virtual Machine Monitor
VNC,VNC—Virtual Network Computing
VOD,VOD—Video On Demand
VoIP,VoIP—Voice over Internet Protocol
VPN,VPN—Virtual Private Network
VPS,VPS—Virtual Private Server
VPU,VPU—Visual Processing Unit
VR,VR—Virtual Reality
VRML,VRML—Virtual Reality Modeling Language
VSAM,VSAM—Virtual Storage Access Method
VSAT,VSAT—Very Small Aperture Terminal
VT,VT—Video Terminal
VTL,VTL—Virtual Tape Library
VTAM,VTAM—Virtual Telecommunications Access Method
VRAM,VRAM—Video Random Access Memory
W3C,W3C—World Wide Web Consortium
WWDC,WWDC—Apple World Wide Developer Conference
WAFS,WAFS—Wide Area File Services
WAI,WAI—Web Accessibility Initiative
WAIS,WAIS—Wide Area Information Server
WAN,WAN—Wide Area Network
WAP,WAP—Wireless Access Point
WAP,WAP—Wireless Application Protocol
WASM,WASM—Watcom ASseMbler
WBEM,WBEM—Web-Based Enterprise Management
WCAG,WCAG—Web Content Accessibility Guidelines
WCF,WCF—Windows Communication Foundation
WDM,WDM—Wavelength-Division Multiplexing
WebDAV,WebDAV—WWW Distributed Authoring and Versioning
WEP,WEP—Wired Equivalent Privacy
WFI,WFI—Wait For Interrupt
Wi-Fi,Wi-Fi—Wireless Fidelity
WiMAX,WiMAX—Worldwide Interoperability for Microwave Access
WinFS,WinFS—Windows Future Storage
WinRT,WinRT—Windows RunTime
WINS,WINS—Windows Internet Name Service
WLAN,WLAN—Wireless Local Area Network
WMA,WMA—Windows Media Audio
WMI,WMI—Windows Management Instrumentation
WMV,WMV—Windows Media Video
WNS,WNS—Windows Push Notification Service
WOL,WOL—Wake-on-LAN
WOR,WOR—Wake-on-Ring
WORA,WORA—Write once run anywhere
WORE,WORE—Write once run everywhere
WORM,WORM—Write Once Read Many
WPA,WPA—Wi-Fi Protected Access
WPAD,WPAD—Web Proxy Autodiscovery Protocol
WPAN,WPAN—Wireless Personal Area Network
WPF,WPF—Windows Presentation Foundation
WS-D,WS-D—Web Services-Discovery
WSDL,WSDL—Web Services Description Language
WSFL,WSFL—Web Services Flow Language
WUSB,WUSB—Wireless Universal Serial Bus
WWAN,WWAN—Wireless Wide Area Network
WWID,WWID—World Wide Identifier
WWN,WWN—World Wide Name
WWW,WWW—World Wide Web
WYSIWYG,WYSIWYG—What You See Is What You Get
WZC,WZC—Wireless Zero Configuration
XAG,XAG—XML Accessibility Guidelines
XAML,XAML—eXtensible Application Markup Language
XDM,XDM—X Window Display Manager
XDMCP,XDMCP—X Display Manager Control Protocol
XCBL,XCBL—XML Common Business Library
