,paragraph,split_paragraph
84,"Abstractions can prove useful when dealing with computer programs, because non-trivial properties of computer programs are essentially undecidable see Rice's theorem. As a consequence, automatic methods for deriving information on the behavior of computer programs either have to drop termination on some occasions, they may fail, crash or never yield out a result, soundness they may provide false information, or precision they may answer ""I don't know"" to some questions.","['abstraction', 'prove', 'useful', 'deal', 'computer', 'program', 'non', 'trivial', 'property', 'computer', 'program', 'essentially', 'undecidable', 'rice', 'theorem', 'consequence', 'automatic', 'method', 'derive', 'information', 'behavior', 'computer', 'program', 'drop', 'termination', 'occasion', 'fail', 'crash', 'yield', 'result', 'soundness', 'provide', 'false', 'information', 'precision', 'answer', 'know', 'question']"
85,Abstraction is the core concept of abstract interpretation. Model checking generally takes place on abstract versions of the studied systems.,"['abstraction', 'core', 'concept', 'abstract', 'interpretation', 'model', 'checking', 'generally', 'take', 'place', 'abstract', 'version', 'study', 'system']"
86,"Computer science commonly presents levels or, less commonly, layers of abstraction, wherein each level represents a different model of the same information and processes, but with varying amounts of detail. Each level uses a system of expression involving a unique set of objects and compositions that apply only to a particular domain. 15 Each relatively abstract, ""higher"" level builds on a relatively concrete, ""lower"" level, which tends to provide an increasingly ""granular"" representation. For example, gates build on electronic circuits, binary on gates, machine language on binary, programming language on machine language, applications and operating systems on programming languages. Each level is embodied, but not determined, by the level beneath it, making it a language of description that is somewhat self-contained.","['computer', 'science', 'commonly', 'present', 'level', 'commonly', 'layer', 'abstraction', 'level', 'represent', 'different', 'model', 'information', 'process', 'vary', 'amount', 'detail', 'level', 'use', 'system', 'expression', 'involve', 'unique', 'set', 'object', 'composition', 'apply', 'particular', 'domain', 'relatively', 'abstract', 'high', 'level', 'build', 'relatively', 'concrete', 'low', 'level', 'tend', 'provide', 'increasingly', 'granular', 'representation', 'example', 'gate', 'build', 'electronic', 'circuit', 'binary', 'gate', 'machine', 'language', 'binary', 'programming', 'language', 'machine', 'language', 'application', 'operating', 'system', 'programming', 'language', 'level', 'embody', 'determine', 'level', 'beneath', 'make', 'language', 'description', 'somewhat', 'self', 'contain']"
87,"Since many users of database systems lack in-depth familiarity with computer data-structures, database developers often hide complexity through the following levels:","['user', 'database', 'system', 'lack', 'depth', 'familiarity', 'computer', 'datum', 'structure', 'database', 'developer', 'hide', 'complexity', 'follow', 'level']"
88,Physical level: The lowest level of abstraction describes how a system actually stores data. The physical level describes complex low-level data structures in detail.,"['physical', 'level', 'low', 'level', 'abstraction', 'describe', 'system', 'actually', 'store', 'datum', 'physical', 'level', 'describe', 'complex', 'low', 'level', 'datum', 'structure', 'detail']"
89,"Logical level: The next higher level of abstraction describes what data the database stores, and what relationships exist among those data. The logical level thus describes an entire database in terms of a small number of relatively simple structures. Although implementation of the simple structures at the logical level may involve complex physical level structures, the user of the logical level does not need to be aware of this complexity. This is referred to as physical data independence. Database administrators, who must decide what information to keep in a database, use the logical level of abstraction.","['logical', 'level', 'high', 'level', 'abstraction', 'describe', 'datum', 'database', 'store', 'relationship', 'exist', 'datum', 'logical', 'level', 'describe', 'entire', 'database', 'term', 'small', 'number', 'relatively', 'simple', 'structure', 'implementation', 'simple', 'structure', 'logical', 'level', 'involve', 'complex', 'physical', 'level', 'structure', 'user', 'logical', 'level', 'need', 'aware', 'complexity', 'refer', 'physical', 'datum', 'independence', 'database', 'administrator', 'decide', 'information', 'database', 'use', 'logical', 'level', 'abstraction']"
90,"View level: The highest level of abstraction describes only part of the entire database. Even though the logical level uses simpler structures, complexity remains because of the variety of information stored in a large database. Many users of a database system do not need all this information; instead, they need to access only a part of the database. The view level of abstraction exists to simplify their interaction with the system. The system may provide many views for the same database.","['view', 'level', 'high', 'level', 'abstraction', 'describe', 'entire', 'database', 'logical', 'level', 'use', 'simple', 'structure', 'complexity', 'remain', 'variety', 'information', 'store', 'large', 'database', 'user', 'database', 'system', 'need', 'information', 'instead', 'need', 'access', 'database', 'view', 'level', 'abstraction', 'exist', 'simplify', 'interaction', 'system', 'system', 'provide', 'view', 'database']"
91,The ability to provide a design of different levels of abstraction can,"['ability', 'provide', 'design', 'different', 'level', 'abstraction']"
92,Systems design and business process design can both use this. Some design processes specifically generate designs that contain various levels of abstraction.,"['systems', 'design', 'business', 'process', 'design', 'use', 'design', 'process', 'specifically', 'generate', 'design', 'contain', 'level', 'abstraction']"
93,"Layered architecture partitions the concerns of the application into stacked groups layers. It is a technique used in designing computer software, hardware, and communications in which system or network components are isolated in layers so that changes can be made in one layer without affecting the others.","['layered', 'architecture', 'partition', 'concern', 'application', 'stack', 'group', 'layer', 'technique', 'design', 'computer', 'software', 'hardware', 'communication', 'system', 'network', 'component', 'isolate', 'layer', 'change', 'layer', 'affect']"
94,Pages for logged out editors learn more,"['page', 'log', 'editor', 'learn']"
95,"In computer science, type conversion,12 type casting,13 type coercion,3 and type juggling45 are different ways of changing an expression from one data type to another. An example would be the conversion of an integer value into a floating point value or its textual representation as a string, and vice versa. Type conversions can take advantage of certain features of type hierarchies or data representations. Two important aspects of a type conversion are whether it happens implicitly automatically or explicitly,16 and whether the underlying data representation is converted from one representation into another, or a given representation is merely reinterpreted as the representation of another data type.67 In general, both primitive and compound data types can be converted.","['computer', 'science', 'type', 'conversion', 'type', 'casting', 'type', 'coercion', 'type', 'juggling45', 'different', 'way', 'change', 'expression', 'datum', 'type', 'example', 'conversion', 'integer', 'value', 'float', 'point', 'value', 'textual', 'representation', 'string', 'vice', 'versa', 'type', 'conversion', 'advantage', 'certain', 'feature', 'type', 'hierarchy', 'datum', 'representation', 'important', 'aspect', 'type', 'conversion', 'happen', 'implicitly', 'automatically', 'explicitly', 'underlie', 'datum', 'representation', 'convert', 'representation', 'give', 'representation', 'merely', 'reinterpret', 'representation', 'datum', 'type', 'general', 'primitive', 'compound', 'datum', 'type', 'convert']"
96,"Each programming language has its own rules on how types can be converted. Languages with strong typing typically do little implicit conversion and discourage the reinterpretation of representations, while languages with weak typing perform many implicit conversions between data types. Weak typing language often allow forcing the compiler to arbitrarily interpret a data item as having different representations—this can be a non-obvious programming error, or a technical method to directly deal with underlying hardware.","['programming', 'language', 'rule', 'type', 'convert', 'language', 'strong', 'typing', 'typically', 'little', 'implicit', 'conversion', 'discourage', 'reinterpretation', 'representation', 'language', 'weak', 'typing', 'perform', 'implicit', 'conversion', 'datum', 'type', 'weak', 'typing', 'language', 'allow', 'force', 'compiler', 'arbitrarily', 'interpret', 'data', 'item', 'have', 'different', 'representation', 'non', 'obvious', 'programming', 'error', 'technical', 'method', 'directly', 'deal', 'underlie', 'hardware']"
97,"In most languages, the word coercion is used to denote an implicit conversion, either during compilation or during run time. For example, in an expression mixing integer and floating point numbers like 5 + 0.1, the compiler will automatically convert integer representation into floating point representation so fractions are not lost. Explicit type conversions are either indicated by writing additional code e.g. adding type identifiers or calling built-in routines or by coding conversion routines for the compiler to use when it otherwise would halt with a type mismatch.","['language', 'word', 'coercion', 'denote', 'implicit', 'conversion', 'compilation', 'run', 'time', 'example', 'expression', 'mix', 'integer', 'float', 'point', 'number', 'like', '0', 'compiler', 'automatically', 'convert', 'integer', 'representation', 'float', 'point', 'representation', 'fraction', 'lose', 'explicit', 'type', 'conversion', 'indicate', 'write', 'additional', 'code', 'e.g.', 'add', 'type', 'identifier', 'call', 'build', 'routine', 'code', 'conversion', 'routine', 'compiler', 'use', 'halt', 'type', 'mismatch']"
98,"In most ALGOL-like languages, such as Pascal, Modula-2, Ada and Delphi, conversion and casting are distinctly different concepts. In these languages, conversion refers to either implicitly or explicitly changing a value from one data type storage format to another, e.g. a 16-bit integer to a 32-bit integer. The storage needs may change as a result of the conversion, including a possible loss of precision or truncation. The word cast, on the other hand, refers to explicitly changing the interpretation of the bit pattern representing a value from one type to another. For example, 32 contiguous bits may be treated as an array of 32 booleans, a 4-byte string, an unsigned 32-bit integer or an IEEE single precision floating point value. Because the stored bits are never changed, the programmer must know low level details such as representation format, byte order, and alignment needs, to meaningfully cast.","['algol', 'like', 'language', 'pascal', 'modula-2', 'ada', 'delphi', 'conversion', 'casting', 'distinctly', 'different', 'concept', 'language', 'conversion', 'refer', 'implicitly', 'explicitly', 'change', 'value', 'data', 'type', 'storage', 'format', 'e.g.', 'bit', 'integer', 'bit', 'integer', 'storage', 'need', 'change', 'result', 'conversion', 'include', 'possible', 'loss', 'precision', 'truncation', 'word', 'cast', 'hand', 'refer', 'explicitly', 'change', 'interpretation', 'bit', 'pattern', 'represent', 'value', 'type', 'example', 'contiguous', 'bit', 'treat', 'array', 'boolean', 'byte', 'string', 'unsigned', 'bit', 'integer', 'ieee', 'single', 'precision', 'float', 'point', 'value', 'store', 'bit', 'change', 'programmer', 'know', 'low', 'level', 'detail', 'representation', 'format', 'byte', 'order', 'alignment', 'need', 'meaningfully', 'cast']"
99,"In the C family of languages and ALGOL 68, the word cast typically refers to an explicit type conversion as opposed to an implicit conversion, causing some ambiguity about whether this is a re-interpretation of a bit-pattern or a real data representation conversion. More important is the multitude of ways and rules that apply to what data type or class is located by a pointer and how a pointer may be adjusted by the compiler in cases like object class inheritance.","['family', 'language', 'algol', 'word', 'cast', 'typically', 'refer', 'explicit', 'type', 'conversion', 'oppose', 'implicit', 'conversion', 'cause', 'ambiguity', 'interpretation', 'bit', 'pattern', 'real', 'data', 'representation', 'conversion', 'important', 'multitude', 'way', 'rule', 'apply', 'data', 'type', 'class', 'locate', 'pointer', 'pointer', 'adjust', 'compiler', 'case', 'like', 'object', 'class', 'inheritance']"
100,"Implicit type conversion, also known as coercion or type juggling, is an automatic type conversion by the compiler. Some programming languages allow compilers to provide coercion; others require it.","['implicit', 'type', 'conversion', 'know', 'coercion', 'type', 'juggling', 'automatic', 'type', 'conversion', 'compiler', 'programming', 'language', 'allow', 'compiler', 'provide', 'coercion', 'require']"
101,"In a mixed-type expression, data of one or more subtypes can be converted to a supertype as needed at runtime so that the program will run correctly. For example, the following is legal C language code:","['mixed', 'type', 'expression', 'datum', 'subtype', 'convert', 'supertype', 'need', 'runtime', 'program', 'run', 'correctly', 'example', 'following', 'legal', 'language', 'code']"
102,"Although .mw-parser-output .monospacedfont-family:monospace,monospaced, l, and i belong to different data types, they will be automatically converted to equal data types each time a comparison or assignment is executed. This behavior should be used with caution, as unintended consequences can arise. Data can be lost when converting representations from floating-point to integer, as the fractional components of the floating-point values will be truncated rounded toward zero. Conversely, precision can be lost when converting representations from integer to floating-point, since a floating-point type may be unable to exactly represent all possible values of some integer type. For example, float might be an IEEE 754 single precision type, which cannot represent the integer 16777217 exactly, while a 32-bit integer type can. This can lead to unintuitive behavior, as demonstrated by the following code:","['.mw', 'parser', 'output', '.monospacedfont', 'family', 'monospace', 'monospace', 'belong', 'different', 'datum', 'type', 'automatically', 'convert', 'equal', 'data', 'type', 'time', 'comparison', 'assignment', 'execute', 'behavior', 'caution', 'unintended', 'consequence', 'arise', 'datum', 'lose', 'convert', 'representation', 'float', 'point', 'integer', 'fractional', 'component', 'float', 'point', 'value', 'truncate', 'round', 'zero', 'conversely', 'precision', 'lose', 'convert', 'representation', 'integer', 'float', 'point', 'float', 'point', 'type', 'unable', 'exactly', 'represent', 'possible', 'value', 'integer', 'type', 'example', 'float', 'ieee', '754', 'single', 'precision', 'type', 'represent', 'integer', '16777217', 'exactly', 'bit', 'integer', 'type', 'lead', 'unintuitive', 'behavior', 'demonstrate', 'follow', 'code']"
103,"On compilers that implement floats as IEEE single precision, and ints as at least 32 bits, this code will give this peculiar print-out:","['compiler', 'implement', 'float', 'ieee', 'single', 'precision', 'int', 'bit', 'code', 'peculiar', 'print']"
104,"Note that 1 represents equality in the last line above. This odd behavior is caused by an implicit conversion of i_value to float when it is compared with f_value. The conversion causes loss of precision, which makes the values equal before the comparison.","['note', 'represent', 'equality', 'line', 'odd', 'behavior', 'cause', 'implicit', 'conversion', 'i_value', 'float', 'compare', 'f_value', 'conversion', 'cause', 'loss', 'precision', 'make', 'value', 'equal', 'comparison']"
105,"One special case of implicit type conversion is type promotion, where an object is automatically converted into another data type representing a superset of the original type. Promotions are commonly used with types smaller than the native type of the target platform's arithmetic logic unit ALU, before arithmetic and logical operations, to make such operations possible, or more efficient if the ALU can work with more than one type. C and C++ perform such promotion for objects of boolean, character, wide character, enumeration, and short integer types which are promoted to int, and for objects of type float, which are promoted to double. Unlike some other type conversions, promotions never lose precision or modify the value stored in the object.","['special', 'case', 'implicit', 'type', 'conversion', 'type', 'promotion', 'object', 'automatically', 'convert', 'data', 'type', 'represent', 'superset', 'original', 'type', 'promotion', 'commonly', 'type', 'small', 'native', 'type', 'target', 'platform', 'arithmetic', 'logic', 'unit', 'alu', 'arithmetic', 'logical', 'operation', 'operation', 'possible', 'efficient', 'alu', 'work', 'type', 'c++', 'perform', 'promotion', 'object', 'boolean', 'character', 'wide', 'character', 'enumeration', 'short', 'integer', 'type', 'promote', 'int', 'object', 'type', 'float', 'promote', 'double', 'unlike', 'type', 'conversion', 'promotion', 'lose', 'precision', 'modify', 'value', 'store', 'object']"
106,"Explicit type conversion, also called type casting, is a type conversion which is explicitly defined within a program instead of being done automatically according to the rules of the language for implicit type conversion. It is requested by the user in the program.","['explicit', 'type', 'conversion', 'call', 'type', 'casting', 'type', 'conversion', 'explicitly', 'define', 'program', 'instead', 'automatically', 'accord', 'rule', 'language', 'implicit', 'type', 'conversion', 'request', 'user', 'program']"
107,There are several kinds of explicit conversion.,"['kind', 'explicit', 'conversion']"
108,"In object-oriented programming languages, objects can also be downcast : a reference of a base class is cast to one of its derived classes.","['object', 'orient', 'programming', 'language', 'object', 'downcast', 'reference', 'base', 'class', 'cast', 'derive', 'class']"
109,"In C#, type conversion can be made in a safe or unsafe i.e., C-like manner, the former called checked type cast.8","['type', 'conversion', 'safe', 'unsafe', 'i.e.', 'like', 'manner', 'call', 'check', 'type', 'cast']"
110,In C++ a similar effect can be achieved using C++-style cast syntax.,"['c++', 'similar', 'effect', 'achieve', 'c++-style', 'cast', 'syntax']"
111,"In Eiffel the notion of type conversion is integrated into the rules of the type system. The Assignment Rule says that an assignment, such as:","['eiffel', 'notion', 'type', 'conversion', 'integrate', 'rule', 'type', 'system', 'assignment', 'rule', 'say', 'assignment']"
112,"is valid if and only if the type of its source expression, y in this case, is compatible with the type of its target entity, x in this case. In this rule, compatible with means that the type of the source expression either conforms to or converts to that of the target. Conformance of types is defined by the familiar rules for polymorphism in object-oriented programming. For example, in the assignment above, the type of y conforms to the type of x if the class upon which y is based is a descendant of that upon which x is based.","['valid', 'type', 'source', 'expression', 'case', 'compatible', 'type', 'target', 'entity', 'case', 'rule', 'compatible', 'mean', 'type', 'source', 'expression', 'conform', 'convert', 'target', 'conformance', 'type', 'define', 'familiar', 'rule', 'polymorphism', 'object', 'orient', 'programming', 'example', 'assignment', 'type', 'conform', 'type', 'class', 'base', 'descendant', 'base']"
113,"The actions of type conversion in Eiffel, specifically converts to and converts from are defined as:","['action', 'type', 'conversion', 'eiffel', 'specifically', 'convert', 'convert', 'define']"
114,A type based on a class CU converts to a type T based on a class CT and T converts from U if either,"['type', 'base', 'class', 'convert', 'type', 'base', 'class', 'convert']"
115,"Eiffel is a fully compliant language for Microsoft .NET Framework. Before development of .NET, Eiffel already had extensive class libraries. Using the .NET type libraries, particularly with commonly used types such as strings, poses a conversion problem. Existing Eiffel software uses the string classes such as STRING_8 from the Eiffel libraries, but Eiffel software written for .NET must use the .NET string class System.String in many cases, for example when calling .NET methods which expect items of the .NET type to be passed as arguments. So, the conversion of these types back and forth needs to be as seamless as possible.","['eiffel', 'fully', 'compliant', 'language', 'microsoft', '.net', 'framework', 'development', '.net', 'eiffel', 'extensive', 'class', 'library', '.net', 'type', 'library', 'particularly', 'commonly', 'type', 'string', 'pose', 'conversion', 'problem', 'exist', 'eiffel', 'software', 'use', 'string', 'class', 'string_8', 'eiffel', 'library', 'eiffel', 'software', 'write', '.net', 'use', '.net', 'string', 'class', 'system', 'string', 'case', 'example', 'call', '.net', 'method', 'expect', 'item', '.net', 'type', 'pass', 'argument', 'conversion', 'type', 'forth', 'need', 'seamless', 'possible']"
116,"In the code above, two strings are declared, one of each different type SYSTEM_STRING is the Eiffel compliant alias for System.String. Because System.String does not conform to STRING_8, then the assignment above is valid only if System.String converts to STRING_8.","['code', 'string', 'declare', 'different', 'type', 'system_stre', 'eiffel', 'compliant', 'alia', 'system', 'string', 'system', 'string', 'conform', 'string_8', 'assignment', 'valid', 'system', 'string', 'convert', 'string_8']"
117,The Eiffel class STRING_8 has a conversion procedure make_from_cil for objects of type System.String. Conversion procedures are also always designated as creation procedures similar to constructors. The following is an excerpt from the STRING_8 class:,"['eiffel', 'class', 'string_8', 'conversion', 'procedure', 'make_from_cil', 'object', 'type', 'system', 'string', 'conversion', 'procedure', 'designate', 'creation', 'procedure', 'similar', 'constructor', 'follow', 'excerpt', 'string_8', 'class']"
118,The presence of the conversion procedure makes the assignment:,"['presence', 'conversion', 'procedure', 'make', 'assignment']"
119,in which my_string is constructed as a new object of type STRING_8 with content equivalent to that of my_system_string.,"['my_string', 'construct', 'new', 'object', 'type', 'string_8', 'content', 'equivalent', 'my_system_string']"
120,To handle an assignment with original source and target reversed:,"['handle', 'assignment', 'original', 'source', 'target', 'reverse']"
121,the class STRING_8 also contains a conversion query to_cil which will produce a System.String from an instance of STRING_8.,"['class', 'string_8', 'contain', 'conversion', 'query', 'to_cil', 'produce', 'system', 'string', 'instance', 'string_8']"
122,"In Eiffel, the setup for type conversion is included in the class code, but then appears to happen as automatically as explicit type conversion in client code. The includes not just assignments but other types of attachments as well, such as argument parameter substitution.","['eiffel', 'setup', 'type', 'conversion', 'include', 'class', 'code', 'appear', 'happen', 'automatically', 'explicit', 'type', 'conversion', 'client', 'code', 'include', 'assignment', 'type', 'attachment', 'argument', 'parameter', 'substitution']"
123,"Rust provides no implicit type conversion coercion between primitive types. But, explicit type conversion casting can be performed using the as keyword.9","['rust', 'provide', 'implicit', 'type', 'conversion', 'coercion', 'primitive', 'type', 'explicit', 'type', 'conversion', 'casting', 'perform', 'keyword']"
124,"In hacking, typecasting is the misuse of type conversion to temporarily change a variable's data type from how it was originally defined.10 This provides opportunities for hackers since in type conversion after a variable is ""typecast"" to become a different data type, the compiler will treat that hacked variable as the new data type for that specific operation.11","['hack', 'typecasting', 'misuse', 'type', 'conversion', 'temporarily', 'change', 'variable', 'data', 'type', 'originally', 'defined', 'provide', 'opportunity', 'hacker', 'type', 'conversion', 'variable', 'typecast', 'different', 'datum', 'type', 'compiler', 'treat', 'hack', 'variable', 'new', 'data', 'type', 'specific', 'operation']"
125,Pages for logged out editors learn more,"['page', 'log', 'editor', 'learn']"
126,"In object-oriented programming, a class is an extensible program-code-template for creating objects, providing initial values for state member variables and implementations of behavior member functions or methods.12 In many languages, the class name is used as the name for the class the template itself, the name for the default constructor of the class a subroutine that creates objects, and as the type of objects generated by instantiating the class; these distinct concepts are easily conflated.2 Although, to the point of conflation, one could argue that is a feature inherent in a language because of its polymorphic nature and why these languages are so powerful, dynamic and adaptable for use compared to languages without polymorphism present. Thus they can model dynamic systems i.e. the real world, machine learning, AI more easily.","['object', 'orient', 'programming', 'class', 'extensible', 'program', 'code', 'template', 'create', 'object', 'provide', 'initial', 'value', 'state', 'member', 'variable', 'implementation', 'behavior', 'member', 'function', 'methods', 'language', 'class', 'class', 'template', 'default', 'constructor', 'class', 'subroutine', 'create', 'object', 'type', 'object', 'generate', 'instantiate', 'class', 'distinct', 'concept', 'easily', 'conflated', 'point', 'conflation', 'argue', 'feature', 'inherent', 'language', 'polymorphic', 'nature', 'language', 'powerful', 'dynamic', 'adaptable', 'use', 'compare', 'language', 'polymorphism', 'present', 'model', 'dynamic', 'system', 'i.e.', 'real', 'world', 'machine', 'learning', 'easily']"
127,"When an object is created by a constructor of the class, the resulting object is called an instance of the class, and the member variables specific to the object are called instance variables, to contrast with the class variables shared across the class.","['object', 'create', 'constructor', 'class', 'result', 'object', 'call', 'instance', 'class', 'member', 'variable', 'specific', 'object', 'call', 'instance', 'variable', 'contrast', 'class', 'variable', 'share', 'class']"
128,"In certain languages, classes are, as a matter of fact, only a compile-time feature new classes cannot be declared at run-time, while in other languages classes are first-class citizens, and are generally themselves objects typically of type .mw-parser-output .monospacedfont-family:monospace,monospaceClass or similar. In these languages, a class that creates classes within itself is called a metaclass.","['certain', 'language', 'class', 'matter', 'fact', 'compile', 'time', 'feature', 'new', 'class', 'declare', 'run', 'time', 'language', 'class', 'class', 'citizen', 'generally', 'object', 'typically', 'type', '.mw', 'parser', 'output', '.monospacedfont', 'family', 'monospace', 'monospaceclass', 'similar', 'language', 'class', 'create', 'class', 'call', 'metaclass']"
129,"In its most casual usage, people often refer to the ""class"" of an object, but narrowly speaking objects have type: the interface, namely the types of member variables, the signatures of member functions methods, and properties these satisfy. At the same time, a class has an implementation specifically the implementation of the methods, and can create objects of a given type, with a given implementation.3 In the terms of type theory, a class is an implementation‍—‌a concrete data structure and collection of subroutines‍—‌while a type is an interface. Different concrete classes can produce objects of the same abstract type depending on type system; for example, the type Stack might be implemented with two classes – SmallStack fast for small stacks, but scales poorly and ScalableStack scales well but high overhead for small stacks. Similarly, a given class may have several different constructors.","['casual', 'usage', 'people', 'refer', 'class', 'object', 'narrowly', 'speak', 'object', 'type', 'interface', 'type', 'member', 'variable', 'signature', 'member', 'function', 'method', 'property', 'satisfy', 'time', 'class', 'implementation', 'specifically', 'implementation', 'method', 'create', 'object', 'give', 'type', 'give', 'implementation', 'term', 'type', 'theory', 'class', 'implementation\u200d—\u200ca', 'concrete', 'data', 'structure', 'collection', 'subroutines\u200d—\u200cwhile', 'type', 'interface', 'different', 'concrete', 'class', 'produce', 'object', 'abstract', 'type', 'depend', 'type', 'system', 'example', 'type', 'stack', 'implement', 'class', 'smallstack', 'fast', 'small', 'stack', 'scale', 'poorly', 'scalablestack', 'scale', 'high', 'overhead', 'small', 'stack', 'similarly', 'give', 'class', 'different', 'constructor']"
130,"Class types generally represent nouns, such as a person, place or thing, or something nominalized, and a class represents an implementation of these. For example, a Banana type might represent the properties and functionality of bananas in general, while the ABCBanana and XYZBanana classes would represent ways of producing bananas say, banana suppliers or data structures and functions to represent and draw bananas in a video game. The ABCBanana class could then produce particular bananas: instances of the ABCBanana class would be objects of type Banana. Often only a single implementation of a type is given, in which case the class name is often identical with the type name.","['class', 'type', 'generally', 'represent', 'noun', 'person', 'place', 'thing', 'nominalize', 'class', 'represent', 'implementation', 'example', 'banana', 'type', 'represent', 'property', 'functionality', 'banana', 'general', 'abcbanana', 'xyzbanana', 'class', 'represent', 'way', 'produce', 'banana', 'banana', 'supplier', 'datum', 'structure', 'function', 'represent', 'draw', 'banana', 'video', 'game', 'abcbanana', 'class', 'produce', 'particular', 'banana', 'instance', 'abcbanana', 'class', 'object', 'type', 'banana', 'single', 'implementation', 'type', 'give', 'case', 'class', 'identical', 'type']"
131,"Classes are composed from structural and behavioral constituents.1 Programming languages that include classes as a programming construct offer support, for various class-related features, and the syntax required to use these features varies greatly from one programming language to another.","['class', 'compose', 'structural', 'behavioral', 'constituents', 'programming', 'language', 'include', 'class', 'programming', 'construct', 'offer', 'support', 'class', 'relate', 'feature', 'syntax', 'require', 'use', 'feature', 'vary', 'greatly', 'programming', 'language']"
132,"A class contains data field descriptions or properties, fields, data members, or attributes. These are usually field types and names that will be associated with state variables at program run time; these state variables either belong to the class or specific instances of the class. In most languages, the structure defined by the class determines the layout of the memory used by its instances. Other implementations are possible: for example, objects in Python use associative key-value containers.4","['class', 'contain', 'data', 'field', 'description', 'property', 'field', 'datum', 'member', 'attribute', 'usually', 'field', 'type', 'name', 'associate', 'state', 'variable', 'program', 'run', 'time', 'state', 'variable', 'belong', 'class', 'specific', 'instance', 'class', 'language', 'structure', 'define', 'class', 'determine', 'layout', 'memory', 'instance', 'implementation', 'possible', 'example', 'object', 'python', 'use', 'associative', 'key', 'value', 'containers']"
133,"Some programming languages such as Eiffel support specification of invariants as part of the definition of the class, and enforce them through the type system. Encapsulation of state is necessary for being able to enforce the invariants of the class.","['programming', 'language', 'eiffel', 'support', 'specification', 'invariant', 'definition', 'class', 'enforce', 'type', 'system', 'encapsulation', 'state', 'necessary', 'able', 'enforce', 'invariant', 'class']"
134,"The behavior of class or its instances is defined using methods. Methods are subroutines with the ability to operate on objects or classes. These operations may alter the state of an object or simply provide ways of accessing it.5 Many kinds of methods exist, but support for them varies across languages. Some types of methods are created and called by programmer code, while other special methods—such as constructors, destructors, and conversion operators—are created and called by compiler-generated code. A language may also allow the programmer to define and call these special methods.67","['behavior', 'class', 'instance', 'define', 'method', 'method', 'subroutine', 'ability', 'operate', 'object', 'class', 'operation', 'alter', 'state', 'object', 'simply', 'provide', 'way', 'access', 'it', 'kind', 'method', 'exist', 'support', 'vary', 'language', 'type', 'method', 'create', 'call', 'programmer', 'code', 'special', 'method', 'constructor', 'destructor', 'conversion', 'operator', 'create', 'call', 'compiler', 'generate', 'code', 'language', 'allow', 'programmer', 'define', 'special', 'methods']"
135,"Every class implements or realizes an interface by providing structure and behavior. Structure consists of data and state, and behavior consists of code that specifies how methods are implemented.8 There is a distinction between the definition of an interface and the implementation of that interface; however, this line is blurred in many programming languages because class declarations both define and implement an interface. Some languages, however, provide features that separate interface and implementation. For example, an abstract class can define an interface without providing implementation.","['class', 'implement', 'realize', 'interface', 'provide', 'structure', 'behavior', 'structure', 'consist', 'datum', 'state', 'behavior', 'consist', 'code', 'specify', 'method', 'implemented', 'distinction', 'definition', 'interface', 'implementation', 'interface', 'line', 'blur', 'programming', 'language', 'class', 'declaration', 'define', 'implement', 'interface', 'language', 'provide', 'feature', 'separate', 'interface', 'implementation', 'example', 'abstract', 'class', 'define', 'interface', 'provide', 'implementation']"
136,Languages that support class inheritance also allow classes to inherit interfaces from the classes that they are derived from.,"['language', 'support', 'class', 'inheritance', 'allow', 'class', 'inherit', 'interface', 'class', 'derive']"
137,"For example, if ""class A"" inherits from ""class B"" and if ""class B"" implements the interface ""interface B"" then ""class A"" also inherits the functionalityconstants and methods declaration provided by ""interface B"".","['example', 'class', 'inherit', 'class', 'class', 'implement', 'interface', 'interface', 'class', 'inherit', 'functionalityconstant', 'method', 'declaration', 'provide', 'interface']"
138,"In languages that support access specifiers, the interface of a class is considered to be the set of public members of the class, including both methods and attributes via implicit getter and setter methods; any private members or internal data structures are not intended to be depended on by external code and thus are not part of the interface.","['language', 'support', 'access', 'specifier', 'interface', 'class', 'consider', 'set', 'public', 'member', 'class', 'include', 'method', 'attribute', 'implicit', 'getter', 'setter', 'method', 'private', 'member', 'internal', 'datum', 'structure', 'intend', 'depend', 'external', 'code', 'interface']"
139,Object-oriented programming methodology dictates that the operations of any interface of a class are to be independent of each other. It results in a layered design where clients of an interface use the methods declared in the interface. An interface places no requirements for clients to invoke the operations of one interface in any particular order. This approach has the benefit that client code can assume that the operations of an interface are available for use whenever the client has access to the object.9citation needed,"['object', 'orient', 'programming', 'methodology', 'dictate', 'operation', 'interface', 'class', 'independent', 'result', 'layered', 'design', 'client', 'interface', 'use', 'method', 'declare', 'interface', 'interface', 'place', 'requirement', 'client', 'invoke', 'operation', 'interface', 'particular', 'order', 'approach', 'benefit', 'client', 'code', 'assume', 'operation', 'interface', 'available', 'use', 'client', 'access', 'objectcitation', 'need']"
